"Area status","Region","Title","Details","Criteria","Qualifying Species","Supporting Species","jurisdiction"
"IMMA","Australia-New Zealand and South East Indian Ocean","Geographe Bay to Eucla Shelf and Coastal Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/geographe-bay-eucla-shelf-coastal-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C1, C2, C3","Eubalaena australis, Megaptera novaeangliae, Balaenoptera musculus, Neophoca cinerea, Arctocephalus forsteri","Tursiops aduncus, Delphinus delphis, Balaenoptera musculus, Globicephala melas, Balaenoptera bonaerensis, Pseudorca crassidens, Orcinus orca, Kogia breviceps, Physeter macrocephalus, Caperea marginata, Tasmacetus shepherdi, Mesoplodon grayi","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Southern Australian Coastal and Shelf Region IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/southern-australian-coastal-and-shelf-region/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C1, C2, C3, D1, D2","Neophoca cinerea, Arctocephalus forsteri, Eubalaena australis, Balaenoptera musculus, Arctocephalus pusillus","Megaptera novaeangliae, Balaenoptera borealis, Tursiops aduncus, Tursiops truncatus, Delphinus delphis, Tasmacetus shepherdi, Mesoplodon layardii, Orcinus orca, Caperea marginata, Mirounga leonina, Hydrurga leptonyx, Arctocephalus tropicalis","Austrialia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Southeastern Australian and Tasmanian Shelf Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/southeastern-australian-tasmanian-shelf-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, B2, C1, C2, C3, D2","Balaenoptera musculus, Arctocephalus forsteri, Arctocephalus pusillus, Eubalaena australis, Megaptera novaeangliae","Delphinus delphis, Tursiops truncatus, Tursiops aduncus, Arctocephalus tropicalis, Orcinus orca, Globicephala melas, Mirounga leonina, Caperea marginata, Physeter macrocephalus, Mesoplodon layardii, Mesoplodon grayi, Ziphius cavirostris","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Australian East Coast Migration Corridor IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/australian-east-coast-migration-corridor/"" rel="""" target=""_blank"">Read full IMMA summary</a>","C3, D1","Megaptera novaeangliae, Balaenoptera acutorostrata","Orcaella heinsohni, Sousa sahulensis, Dugong dugon, Stenella longirostris, Pseudorca crassidens, Tursiops truncatus, Tursiops aduncus, Delphinus delphis, Orcinus orca, Balaenoptera edeni, Eubalaena australis, Arctocephalus pusillus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Coast and Shelf Waters of Eastern Te Waipounamu IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/coast-and-shelf-waters-of-eastern-te-waipounamu-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1","Cephalorhynchus hectori, Phocarctos hookeri","Megaptera novaeeangliae, Eubalaena australis, Hydrurga leptonyx, Delphinus delphis, Tursiops truncatus, Balaenoptera physalus, Balaenoptera musculus, Balaenoptera acutorostrata, Mirounga angustirostris, Orcinus orca, Lagenorhynchus obscurus, Arctocephalus forsteri","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Marlborough Sounds and Cook Strait IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/marlborough-sounds-cook-strait/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C1, C2, C3","Balaenoptera musculus, Berardius arnuxii, Ziphius cavirostris, Lagenorhynchus obscurus, Mesoplodon grayi, Cephalorhynchus hectori, Megaptera novaeangliae, Orcinus orca, Arctocephalus forsteri, Phocarctos hookeri","Mesoplodon bowdoini, Balaenoptera bonaerensis, Tursiops truncatus, Delphinus delphis, Pseudorca crassidens, Balaenoptera physalus, Hydrurga leptonyx, Globicephala melas, Kogia breviceps, Mirounga leonina, Lissodelphis peronii","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","South Taranaki Bight IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/south-taranaki-bight/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C1, C2, C3, D1, D2","Cephalorhynchus hectori, Balaenoptera musculus, Arctocephalus forsteri, Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera borealis, Physeter macrocephalus","Globicephala melas, Caperea marginata, Tasmacetus shepherdi, Mesoplodon bowdoini, Balaenoptera bonaerensis, Berardius arnuxii, Tursiops truncatus, Balaenoptera edeni, Lobodon carcinophaga, Ziphius cavirostris, Lagenorhynchus obscurus","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Kaikoura IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/kaikoura/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C2, D2","Cephalorhynchus hectori, Balaenoptera musculus, Arctocephalus forsteri","Megaptera novaeangliae, Balaenoptera borealis, Balaenoptera physalus, Eubalaena australis, Lissodelphis peronii, Tursiops truncatus, Delphinus delphis, Orcinus orca, Globicephala melas, Hydrurga leptonyx, Mirounga leonina","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Tikapa Moana Te Moananui a Toi Hauraki IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/tikapa-moana-te-moananui-a-toi-hauraki/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2, D2","Balaenoptera edeni, Pseudorca crassidens, Balaenoptera musculus","Orcinus orca, Pseudorca crassidens, Delphinus delphis, Globicephala melas, Ziphius cavirostris, Mesoplodon grayi, Berardius arnuxii, Balaenoptera borealis, Megaptera novaeangliae, Balaenoptera bonaerensis, Physeter macrocephalus","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Western Australian Humpback Whale Migration Route IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/western-australian-humpback-whale-migration-route/"" rel="""" target=""_blank"">Read full IMMA summary</a>","C1, C3","Megaptera novaeangliae","Dugong dugon, Orcaella heinsohni, Sousa sahulensis, Stenella longirostris, Tursiops aduncus, Tursiops truncatus, Orcinus orca, Pseudorca crassidens, Balaenoptera musculus, Eubalaena australis, Balaenoptera physalus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Rakiura Stewart Island and Te Ara a Kiwa IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/rakiura-stewart-island-te-ara-a-kiwa/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, C1, C3, D2","Balaenoptera musculus, Balaenoptera physalus, Cephalorhynchus hectori, Megaptera novaeangliae, Arctocephalus forsteri, Phocarctos hookeri, Balaenoptera borealis, Eubalaena australis","Berardius arnuxii, Balaenoptera bonaerensis, Delphinus delphis, Lagenorhynchus obscurus, Orcinus orca, Hydrurga leptonyx, Globicephala melas, Caperea marginata, Mirounga leonina, Lissodelphis peronii","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Ningaloo Reef to Montebello Islands IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/ningaloo-reef-montebello-islands/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, C1, C2","Sousa sahulensis, Dugong dugon, Megaptera novaeangliae","Tursiops aduncus, Balaenoptera musculus, Orcaella heinsohni, Balaenoptera acutorostrata, Orcinus orca, Eubalaena australis, Balaenoptera omurai, Balaenoptera physalus, Pseudorca crassidens","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Albany Canyon Region IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/albany-canyon-region/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2","Physeter macrocephalus, Orcinus orca","Delphinus delphis, Stenella coeruleoalba, Balaenoptera musculus, Balaenoptera physalus, Megaptera novaeangliae, Eubalaena australis, Mesoplodon layardii, Pseudorca crassidens, Globicephala melas","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Gourdon Bay to Bigge Island IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/gourdon-bay-bigge-island/"" rel="""" target=""_blank"">Read full IMMA summary</a>","B2, C1","Megaptera novaeangliae","Balaenoptera edeni, Physeter macrocephalus, Balaenoptera physalus, Stenella longirostris, Pseudorca crassidens, Tursiops truncatus, Tursiops aduncus, Orcaella heinsohni, Sousa sahulensis","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Southern Great Barrier Reef Lagoon and Coast IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/southern-great-barrier-reef-lagoon-coast/"" rel="""" target=""_blank"">Read full IMMA summary</a>","B2, C1","Megaptera novaeangliae","Balaenoptera acutorostrata, Dugong dugon, Orcaella heinsohni, Sousa sahulensis, Stenella longirostris, Pseudorca crassidens, Tursiops truncatus, Tursiops aduncus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","South Australian Gulfs and Adjacent Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/south-australian-gulfs-adjacent-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C1, C2, C3, D1","Neophoca cinerea, Eubalaena australis, Tursiops aduncus, Arctocephalus forsteri, Megaptera novaeangliae","Orcinus orca, Kogia breviceps, Kogia sima, Balaenoptera acutorostrata, Tursiops truncatus, Hydrurga leptonyx, Delphinus delphis","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Moreton Bay IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/moreton-bay/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, B2, C1, C2, D1","Sousa sahulensis, Dugong dugon, Tursiops aduncus","Megaptera novaeangliae, Tursiops truncatus, Eubalaena australis, Delphinus delphis, Arctocephalus forsteri, Balaenoptera edeni, Balaenoptera acutorostrata","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Northwestern Australian Coastal Waters and Inlets IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/northwestern-australian-coastal-waters-inlets/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, C2, D1","Sousa sahulensis, Dugong dugon, Orcaella heinsohni, Tursiops aduncus","Megaptera novaeangliae, Stenella longirostris, Pseudorca crassidens, Orcinus orca, Balaenoptera musculus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Northern Great Barrier Reef IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/northern-great-barrier-reef/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C1, C2","Sousa sahulensis, Dugong dugon, Orcaella heinsohni","Balaenoptera acutorostrata, Megaptera novaeangliae, Pseudorca crassidens, Stenella longirostris, Tursiops aduncus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Mapoon to Aurukun IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/mapoon-aurukun/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1","Orcaella heinsohni, Sousa sahulensis","Tursiops aduncus, Pseudorca crassidens, Orcinus orca, Stenella longirostris","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Rangitahua Kermadec IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/rangitahua-kermadec/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C3","Megaptera novaeangliae, Tursiops truncatus","Physeter macrocephalus, Balaenoptera musculus, Orcinus orca, Delphinus delphis","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Southern Gulf of Carpentaria IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/southern-gulf-carpentaria/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C1, C2","Dugong dugon, Orcaella heinsohni","Pseudorca crassidens, Sousa sahulensis, Stenella longirostris, Tursiops aduncus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Hinchinbrook to Round Hill Network IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/hinchinbrook-round-hill/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, C1, C2","Sousa sahulensis, Orcaella heinsohni, Dugong dugon","Megaptera novaeangliae, Tursiops aduncus, Tursiops truncatus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Shark Bay IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/shark-bay/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, C1, C2, D1","Tursiops aduncus, Dugong dugon","Megaptera novaeangliae, Sousa sahulensis, Eubalaena australis","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Central West Coast, North Island IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/central-west-coast-north-island-new-zealand/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1","Cephalorhynchus hectori","Delphinus delphis, Tursiops truncatus, Orcinus orca","New Zealand"
"IMMA","Australia-New Zealand and South East Indian Ocean","Great Barrier Ribbon Reefs and Outer Shelf IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/great-barrier-ribbon-reefs-outer-shelf/"" rel="""" target=""_blank"">Read full IMMA summary</a>","B2, C1, D1","Balaenoptera acutorostrata","Balaenoptera omurai, Megaptera novaeangliae, Pseudorca crassidens","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Houtman Abrolhos to Rottnest Shelf Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/houtman-abrolhos-rottnest-shelf-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C1, C2","Neophoca cinerea","Balaenoptera musculus, Megaptera novaeangliae, Tursiops aduncus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Dampier Archipelago IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/dampier-archipelago/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, B2, C1, C2, D1","Dugong dugon, Sousa sahulensis, Tursiops aduncus, Megaptera novaeangliae","Orcaella heinsohni, Pseudorca crassidens","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Hervey Bay and Great Sandy Strait IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/hervey-bay-great-sandy-strait/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, B2, C1, C2","Sousa sahulensis, Megaptera novaeangliae, Dugong dugon","Tursiops aduncus, Tursiops truncatus","Australia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Central and Western Torres Strait IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/central-western-torres-strait/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C1, C2, D1","Dugong dugon, Sousa sahulensis, Orcaella heinsohni","Tursiops aduncus","Australia, Papua New Guinea"
"IMMA","Australia-New Zealand and South East Indian Ocean","Eastern Indian Ocean Blue Whale Migratory Route IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/eastern-indian-ocean-blue-whale-migratory-route/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C2, C3","Balaenoptera musculus","Balaenoptera musculus","Australia, Timor-Leste, Indonesia"
"IMMA","Australia-New Zealand and South East Indian Ocean","Hikurangi Trench IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/hikurangi-trench/"" rel="""" target=""_blank"">Read full IMMA summary</a>","D2","Balaenoptera musculus, Ziphius cavirostris, Balaenoptera physalus, Mesoplodon grayi, Cephalorhynchus hectori, Megaptera novaeangliae, Globicephala melas, Kogia breviceps, Balaenoptera borealis, Physeter macrocephalus, Mesoplodon layardii","","New Zealand"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Balaklava and the Southern Crimea IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/balaklava-and-the-southern-crimea-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C1, C2","Tursiops truncatus ponticus","Delphinus delphis ponticus, Phocoena phocoena relicta","Ukraine"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Emona IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/emona-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2","Tursiops truncatus ponticus","Delphinus delphis ponticus, Phocoena phocoena relicta","Bulgaria"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Karadag and Opuk IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/karadag-and-opuk-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C1, C2, D1","Tursiops truncatus ponticus","Delphinus delphis ponticus, Phocoena phocoena relicta","Ukraine"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Western Black Sea IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/western-black-sea-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2","Phocoena phocoena relicta","Delphinus delphis ponticus, Tursiops truncatus ponticus","Bulgaria, Romania, Türkiye"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Kaliakra to Danube Delta IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/kaliakra-to-danube-delta-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2","Phocoena phocoena relicta, Tursiops truncatus ponticus","Delphinus delphis ponticus","Bulgaria, Romania, Ukraine"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Black Sea Eastern Anatolian Coast IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/black-sea-eastern-anatolian-coast-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2","Phocoena phocoena relicta, Delphinus delphis ponticus","Tursiops truncatus ponticus","Georgia, Türkiye"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Kerch Strait and Taman Bay IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/kerch-strait-and-taman-bay-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C2, C3","Phocoena phocoena relicta","Tursiops truncatus ponticus","Russian Federation, Ukraine"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Colchis IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/colchis-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C1, C2","Delphinus delphis ponticus, Phocoena phocoena relicta, Tursiops truncatus ponticus","","Georgia"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Karkinit and Dzharylhach Gulfs IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/karkinit-and-dzharylhach-gulfs-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C1, C2","Delphinus delphis ponticus, Phocoena phocoena relicta, Tursiops truncatus ponticus","","Ukraine"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Sinop IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/sinop-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2","Delphinus delphis ponticus, Phocoena phocoena relicta, Tursiops truncatus ponticus","","Türkiye"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Turkish Straits System and Prebosphoric IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/turkish-straits-system-and-prebosphoric-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2, C3","Delphinus delphis ponticus, Phocoena phocoena relicta, Tursiops truncatus ponticus","","Türkiye"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Caspian Seal Breeding Area IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/caspian-seal-breeding-area-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C2, C3","Pusa caspica","","Kazakhstan, Russian Federation"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Caspian Seal Moulting and Haul Out Areas IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/caspian-seal-moulting-and-haul-out-areas-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, D1","Pusa caspica","","Azerbaijan, Iran (Islamic Republic of), Kazakhstan, Russian Federation, Turkmenistan"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Caspian Seal Transitory Migration and Feeding Area IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/caspian-seal-transitory-migration-and-feeding-area-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C2, C3","Pusa caspica","","Azerbaijan, Iran (Islamic Republic of), Russian Federation, Kazakhstan, Turkmenistan"
"IMMA","Black Sea, Turkish Straits System and Caspian Sea","Sea of Azov IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/sea-of-azov-imma"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B2, C2, D1","Phocoena phocoena relicta","","Russian Federation, Ukraine"
"IMMA","Extended Southern Ocean","Macquarie Island Ridge IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/macquarie-island-ridge/"" rel="""" target=""_blank"">Read full IMMA summary</a>","C1, C2, D2","Arctocephalus gazella, Arctocephalus tropicalis, Arctocephalus forsteri, Mirounga leonina, Orcinus orca","Physeter macrocephalus, Megaptera novaeangliae, Eubalaena australis, Balaenoptera acutorostrata, Berardius arnuxii, Mesoplodon bowdoini, Mesoplodon layardii, Ziphius cavirostris, Globicephala melas, Phocoena dioptrica, Lissodelphis peronii","Australia"
"IMMA","Extended Southern Ocean","Gough Island and Surrounding Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/gough-island-surrounding-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","B2, C1, C2","Arctocephalus tropicalis, Mirounga leonina","Tasmacetus shepherdi, Eubalaena australis, Megaptera novaeangliae, Globicephala melas, Orcinus orca, Balaenoptera physalus, Balaenoptera borealis, Balaenoptera bonaerensis, Physeter macrocephalus, Mesoplodon mirus, Mesoplodon bowdoini","United Kingdom of Great Britain and Northern Ireland, Areas Beyond National Jurisdiction"
"IMMA","Extended Southern Ocean","Heard Islands, Kerguelen and Surrounding Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/heard-island-kerguelen-surrounding-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, C1, C2","Mirounga leonina, Arctocephalus gazella, Cephalorhynchus commersonii, Balaenoptera musculus","Arctocephalus tropicalis, Physeter macrocephalus, Orcinus orca, Globicephala melas, Eubalaena australis, Balaenoptera acutorostrata, Balaenoptera bonaerensis, Megaptera novaeangliae, Hyperoodon planifrons, Ziphius cavirostris","France, Australia, Areas Beyond National Jurisdiction"
"IMMA","Extended Southern Ocean","Prince Edward Islands and Western Oceanic Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/prince-edward-islands-western-oceanic-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","C1, C2","Mirounga leonina, Arctocephalus gazella, Arctocephalus tropicalis, Orcinus orca","Hydrurga leptonyx, Globicephala melas, Physeter macrocephalus, Lagenorhynchus cruciger, Lagenorhynchus obscurus, Balaenoptera physalus, Balaenoptera borealis, Eubalaena australis, Mesoplodon layardii, Lissodelphis peronii","South Africa, Areas Beyond National Jurisdiction"
"IMMA","Extended Southern Ocean","Scotia Arc IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/scotia-arc/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C2, D2","Eubalaena australis, Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera musculus, Balaenoptera borealis, Physeter macrocephalus","Arctocephalus gazella, Leptonychotes weddellii, Mirounga leonina, Hydrurga leptonyx, Balaenoptera bonaerensis, Orcinus orca, Globicephala melas, Lagenorhynchus cruciger, Hyperoodon planifrons","South Georgia and the South Sandwich Islands - United Kingdom"
"IMMA","Extended Southern Ocean","New Zealand Subantarctic Islands IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/new-zealand-subantarctic-islands/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, C1, C2","Phocarctos hookeri, Eubalaena australis, Arctocephalus forsteri, Mirounga leonina","Lagenorhynchus obscurus, Lagenorhynchus cruciger, Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera musculus, Globicephala melas, Physeter macrocephalus, Orcinus orca, Hydrurga leptonyx","New Zealand"
"IMMA","Extended Southern Ocean","Western Antarctic Peninsula and Islands IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/western-antarctic-peninsula-islands/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, B1, B2, C1, C2, D1, D2","Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera bonaerensis, Orcinus orca, Arctocephalus gazella, Mirounga leonina, Hydrurga leptonyx, Lobodon carcinophaga, Leptonychotes weddellii","Balaenoptera borealis, Balaenoptera musculus, Balaenoptera acutorostrata, Eubalaena australis, Hyperoodon planifrons, Berardius arnuxii, Lagenorhynchus cruciger","Antarctica"
"IMMA","Extended Southern Ocean","Scott Islands and Iselin Bank IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/scott-islands-iselin-bank/"" rel="""" target=""_blank"">Read full IMMA summary</a>","A, C2, D2","Megaptera novaeangliae, Balaenoptera musculus, Balaenoptera physalus, Balaenoptera bonaerensis","Lobodon carcinophaga, Globicephala melas, Hydrurga leptonyx, Mirounga leonina, Orcinus orca, Balaenoptera acutorostrata","Antarctica, Areas Beyond National Jurisdiction"
"IMMA","Extended Southern Ocean","Ross Sea Ecosystem IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/ross-sea-ecosystem/"" rel="""" target=""_blank"">Read full IMMA summary</a>","B1, B2, C1, C2, C3, D1","Leptonychotes weddellii, Lobodon carcinophaga, Hydrurga leptonyx, Ommatophoca rossii, Orcinus orca, Balaenoptera bonaerensis, Berardius arnuxii","Balaenoptera acutorostrata, Balaenoptera musculus, Balaenoptera physalus, Megaptera novaeangliae","Antarctica, Areas Beyond National Jurisdiction"
"IMMA","Extended Southern Ocean","Amsterdam Island, Saint Paul and Associated Waters IMMA","<a data-content=""Read full IMMA summary"" href=""https://www.marinemammalhabitat.org/factsheets/amsterdam-island-saint-paul-associated-waters/"" rel="""" target=""_blank"">Read full IMMA summary</a>","C1, C2","Arctocephalus tropicalis","Orcinus orca, Physeter macrocephalus, Balaenoptera musculus, Mirounga leonina","France"
