Year,Nation,Fin,Sperm,Humpback,Sei,Brydes,CommonMinke,AntarcticMinke,Gray,Bowhead,Total
2000,United States,0,0,0,0,0,0,0,0,47,47
2001,Denmark/Greenland,8,0,2,0,0,156,0,0,0,166
2001,Indonesia,0,35,0,0,0,0,0,0,0,35
2001,Japan,0,8,0,1,50,100,452,0,0,611
2001,Korea,0,0,0,0,0,1,0,0,0,1
2001,Norway,0,0,0,0,0,552,0,0,0,552
2001,Russia,0,0,0,0,0,0,0,112,1,113
2001,Saint Vincent & the Grenadines,0,0,2,0,0,0,0,0,0,2
2001,United States,0,0,0,0,0,0,0,0,75,75
2002,Canada,0,0,0,0,0,0,0,0,1,1
2002,Denmark/Greenland,13,0,2,0,0,149,0,0,0,164
2002,Indonesia,0,28,0,0,0,0,0,0,0,28
2002,Japan,0,5,0,40,50,152,441,0,0,688
2002,Korea,0,0,0,0,0,1,0,0,0,1
2002,Norway,0,0,0,0,0,634,0,0,0,634
2002,Russia,0,0,0,0,0,0,0,131,3,134
2002,Saint Vincent & the Grenadines,0,0,2,0,0,0,0,0,0,2
2002,United States,0,0,0,0,0,0,0,0,50,50
2003,Denmark/Greenland,9,0,1,0,0,199,0,0,0,209
2003,Iceland,0,0,0,0,0,37,0,0,0,37
2003,Indonesia,0,18,0,0,0,0,0,0,0,18
2003,Japan,0,10,0,50,50,151,443,0,0,704
2003,Korea,0,0,0,0,0,5,0,0,0,5
2003,Norway,0,0,0,0,0,647,0,0,0,647
2003,Russia,0,0,0,0,0,0,0,128,3,131
2003,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
2003,United States,0,0,0,0,0,0,0,0,41,41
2004,Denmark/Greenland,13,0,1,0,0,190,0,0,0,204
2004,Iceland,0,0,0,0,0,25,0,0,0,25
2004,Indonesia,0,14,0,0,0,0,0,0,0,14
2004,Japan,0,3,0,100,51,160,441,0,0,755
2004,Korea,0,0,0,0,0,8,0,0,0,8
2004,Norway,0,0,0,0,0,544,0,0,0,544
2004,Russia,0,0,0,0,0,0,0,111,1,112
2004,United States,0,0,0,0,0,0,0,0,44,44
2005,Canada,0,0,0,0,0,0,0,0,1,1
2005,Denmark/Greenland,13,0,0,0,0,180,0,0,0,193
2005,Iceland,0,0,0,0,0,39,0,0,0,39
2005,Indonesia,0,5,0,0,0,0,0,0,0,5
2005,Japan,10,5,0,100,50,222,856,0,0,1243
2005,Korea,0,0,0,0,0,3,0,0,0,3
2005,Norway,0,0,0,0,0,639,0,0,0,639
2005,Russia,0,0,0,0,0,0,0,124,2,126
2005,Saint Vincent & the Grenadines,0,0,1,0,1,0,0,0,0,2
2005,United States,0,0,0,0,0,0,0,0,68,68
2006,Denmark/Greenland,11,0,1,1,0,184,0,0,0,197
2006,Iceland,7,0,0,0,0,61,0,0,0,68
2006,Indonesia,0,4,0,0,0,0,0,0,0,4
2006,Japan,3,6,0,101,51,197,508,0,0,866
2006,Korea,0,0,0,0,0,2,0,0,0,2
2006,Norway,0,0,0,0,0,545,0,0,0,545
2006,Russia,0,0,0,0,0,0,0,134,3,137
2006,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
2006,United States,0,0,0,0,0,0,0,0,39,39
2007,Denmark/Greenland,12,0,0,0,0,169,0,0,0,181
2007,Iceland,0,0,0,0,0,45,0,0,0,45
2007,Indonesia,0,43,0,0,0,0,0,0,0,43
2007,Japan,0,3,0,100,50,208,551,0,0,912
2007,Korea,0,0,0,0,0,22,0,0,0,22
2007,Norway,0,0,0,0,0,597,0,0,0,597
2007,Russia,0,0,0,0,0,0,0,131,0,131
2007,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
2007,United States,0,0,0,0,0,0,0,1,63,64
2008,Canada,0,0,0,0,0,0,0,0,4,4
2008,Denmark/Greenland,14,0,0,0,0,154,0,0,0,168
2008,Iceland,0,0,0,0,0,38,0,0,0,38
2008,Indonesia,0,34,0,0,0,0,0,0,0,34
2008,Japan,1,2,0,100,50,171,680,0,0,1004
2008,Korea,0,0,0,0,0,6,0,0,0,6
2008,Norway,0,0,0,0,0,536,0,0,0,536
2008,Russia,0,0,0,0,0,0,0,130,2,132
2008,Saint Vincent & the Grenadines,0,0,2,0,0,0,0,0,0,2
2008,United States,0,0,0,0,0,0,0,0,50,50
2009,Canada,0,0,0,0,0,0,0,0,4,4
2009,Denmark/Greenland,10,0,0,0,0,168,0,0,3,181
2009,Iceland,125,0,0,0,0,81,0,0,0,206
2009,Indonesia,0,5,1,0,0,0,0,0,0,6
2009,Japan,1,1,0,101,50,165,507,0,0,825
2009,Korea,0,0,0,0,0,16,0,0,0,16
2009,Norway,0,0,0,0,0,484,0,0,0,484
2009,Russia,0,0,0,0,0,0,0,116,0,116
2009,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
2009,United States,0,0,0,0,0,0,0,0,38,38
2010,Canada,0,0,0,0,0,0,0,0,4,4
2010,Denmark/Greenland,6,0,9,0,0,196,0,0,3,214
2010,Iceland,148,0,0,0,0,60,0,0,0,208
2010,Indonesia,0,22,0,0,0,0,0,0,0,22
2010,Japan,2,3,0,100,50,119,171,0,0,445
2010,Korea,0,0,0,0,1,11,0,0,0,12
2010,Norway,0,0,0,0,0,468,0,0,0,468
2010,Russia,0,0,0,0,0,0,0,118,2,120
2010,Saint Vincent & the Grenadines,0,0,3,0,0,0,0,0,0,3
2010,United States,0,0,0,0,0,0,0,0,71,71
2011,Canada,0,0,0,0,0,0,0,0,3,3
2011,Denmark/Greenland,5,0,8,0,0,189,0,0,1,203
2011,Iceland,0,0,0,0,0,58,0,0,0,58
2011,Indonesia,0,14,0,0,0,0,0,0,0,14
2011,Japan,1,1,0,96,50,126,266,0,0,540
2011,Korea,0,0,0,0,0,21,0,0,0,21
